iter	MultiClass
0	1.098456948
1	1.098373243
2	1.09824975
3	1.098172429
4	1.098067307
5	1.09795767
6	1.097829321
7	1.097678062
8	1.097574499
9	1.097460222
10	1.09731344
11	1.097191396
12	1.097119405
13	1.097016714
14	1.096954967
15	1.096855511
16	1.096735328
17	1.096643968
18	1.096520723
19	1.096447895
20	1.096325571
21	1.096205817
22	1.096104061
23	1.095998115
24	1.09592614
25	1.095840766
26	1.095753107
27	1.095648908
28	1.095565383
29	1.095435949
30	1.095302146
31	1.09517405
32	1.095099941
33	1.09497532
34	1.094861338
35	1.094775897
36	1.094685808
37	1.0945725
38	1.094481701
39	1.09438605
40	1.094264438
41	1.094164405
42	1.094037661
43	1.09390792
44	1.093780727
45	1.093685836
46	1.093624096
47	1.093522204
48	1.093433571
49	1.093329942
50	1.093218924
51	1.093109374
52	1.093000684
53	1.092895016
54	1.092787813
55	1.092686835
56	1.092582615
57	1.092478012
58	1.092366124
59	1.092279692
60	1.092197773
61	1.092111371
62	1.092041952
63	1.091935901
64	1.09181649
65	1.091734383
66	1.091629147
67	1.091551584
68	1.091456987
69	1.091362529
70	1.091254736
71	1.091163618
72	1.091061261
73	1.090972383
74	1.090870644
75	1.090767086
76	1.090660121
77	1.090538429
78	1.090461019
79	1.090375012
80	1.090311665
81	1.090200549
82	1.090144586
83	1.090023207
84	1.089931293
85	1.08984391
86	1.08973928
87	1.089625521
88	1.089535201
89	1.089426511
90	1.089337666
91	1.0892307
92	1.089131756
93	1.089033657
94	1.088926801
95	1.088821128
96	1.088722751
97	1.088625812
98	1.088517162
99	1.088423896
100	1.088341977
101	1.088227232
102	1.088140676
103	1.088058551
104	1.087998982
105	1.08790047
106	1.087814293
107	1.087672671
108	1.087571652
109	1.087493863
110	1.087377877
111	1.087284296
112	1.087187222
113	1.087091424
114	1.086981284
115	1.086864351
116	1.086805115
117	1.086707887
118	1.086609168
119	1.086520053
120	1.086420377
121	1.086307119
122	1.086208609
123	1.086088289
124	1.085968483
125	1.085886829
126	1.085777861
127	1.085669656
128	1.085595016
129	1.08549146
130	1.085421981
131	1.085342552
132	1.085252656
133	1.085166866
134	1.085045389
135	1.084956933
136	1.084863877
137	1.084778211
138	1.084701821
139	1.084615456
140	1.08453557
141	1.084445271
142	1.084351772
143	1.084300696
144	1.084221691
145	1.084088455
146	1.083944422
147	1.08386074
148	1.083770017
149	1.083676823
150	1.083590428
151	1.083472428
152	1.083397496
153	1.083338869
154	1.083265172
155	1.083148057
156	1.083033908
157	1.082939847
158	1.08286522
159	1.082738844
160	1.082667455
161	1.082573563
162	1.082491899
