iter	Passed	Remaining
0	207	207161
1	274	136843
2	351	116833
3	422	105318
4	472	94043
5	533	88422
6	588	83428
7	648	80367
8	696	76713
9	749	74232
10	801	72088
11	852	70156
12	900	68406
13	954	67243
14	1003	65886
15	1056	64959
16	1114	64469
17	1173	63997
18	1230	63510
19	1277	62613
20	1332	62109
21	1393	61927
22	1444	61340
23	1493	60753
24	1544	60227
25	1593	59679
26	1651	59507
27	1702	59083
28	1747	58497
29	1796	58072
30	1847	57749
31	1895	57334
32	1939	56827
33	1985	56414
34	2034	56099
35	2085	55854
36	2136	55610
37	2191	55479
38	2247	55381
39	2294	55058
40	2344	54844
41	2394	54608
42	2442	54358
43	2493	54177
44	2545	54027
45	2595	53837
46	2642	53576
47	2690	53359
48	2736	53108
49	2793	53078
50	2859	53210
51	2916	53171
52	2961	52923
53	3011	52763
54	3063	52630
55	3111	52450
56	3161	52304
57	3208	52107
58	3261	52010
59	3315	51944
60	3364	51797
61	3418	51720
62	3471	51638
63	3533	51681
64	3591	51666
65	3639	51505
66	3687	51348
67	3739	51248
68	3789	51124
69	3840	51025
70	3888	50875
71	3940	50785
72	3991	50689
73	4039	50548
74	4095	50513
75	4155	50526
76	4212	50497
77	4260	50362
78	4309	50242
79	4353	50061
80	4398	49909
81	4446	49773
82	4492	49631
83	4544	49552
84	4591	49425
85	4636	49278
86	4683	49151
87	4730	49027
88	4792	49051
89	4856	49105
90	4934	49295
91	4994	49295
92	5058	49331
93	5118	49337
94	5189	49432
95	5269	49619
96	5360	49903
97	5466	50310
98	5537	50397
99	5600	50402
100	5663	50409
101	5731	50462
102	5808	50584
103	5880	50667
104	5945	50680
105	6038	50929
106	6104	50944
107	6178	51031
108	6239	51003
109	6329	51207
110	6420	51423
111	6482	51400
112	6541	51349
113	6617	51427
114	6686	51456
115	6754	51475
116	6821	51481
117	6899	51568
118	6969	51594
119	7032	51572
120	7099	51576
121	7163	51550
122	7231	51559
123	7335	51819
124	7419	51937
125	7485	51921
126	7553	51920
127	7615	51882
128	7681	51867
129	7756	51906
130	7823	51898
131	7904	51979
132	7977	52001
133	8045	51996
134	8126	52069
135	8194	52060
136	8258	52020
137	8323	51988
138	8387	51955
139	8449	51905
140	8518	51895
141	8592	51917
142	8658	51888
143	8716	51814
144	8780	51771
145	8849	51761
146	8920	51760
147	8985	51729
148	9048	51680
149	9117	51665
150	9189	51668
151	9251	51613
152	9303	51503
153	9360	51419
154	9418	51348
155	9484	51316
156	9560	51333
157	9629	51316
158	9689	51250
159	9768	51284
160	9855	51360
161	9918	51309
162	9986	51278
163	10054	51254
164	10128	51255
165	10193	51214
166	10263	51194
167	10332	51168
168	10390	51090
169	10454	51043
170	10521	51006
171	10591	50988
172	10653	50928
173	10708	50835
174	10763	50743
175	10820	50661
176	10875	50569
177	10937	50506
178	10994	50426
179	11071	50435
180	11134	50382
181	11203	50353
182	11264	50289
183	11325	50227
184	11384	50151
185	11456	50137
186	11524	50105
187	11589	50056
188	11647	49978
189	11716	49949
190	11787	49925
191	11846	49855
192	11915	49823
193	11984	49791
194	12048	49737
195	12106	49663
196	12164	49586
197	12226	49523
198	12281	49432
199	12337	49350
200	12394	49269
201	12459	49221
202	12523	49167
203	12593	49137
204	12649	49053
205	12708	48981
206	12765	48903
207	12820	48814
208	12885	48766
209	12941	48684
210	13005	48631
211	13063	48557
212	13132	48521
213	13192	48455
214	13249	48376
215	13305	48294
216	13372	48252
217	13441	48215
218	13509	48178
219	13574	48129
220	13635	48063
221	13703	48023
222	13768	47974
223	13826	47898
224	13883	47821
225	13944	47755
226	13997	47666
227	14051	47579
228	14107	47498
229	14167	47430
230	14223	47349
231	14287	47295
232	14351	47241
233	14425	47220
234	14475	47123
235	14537	47063
236	14596	46992
237	14657	46929
238	14716	46858
239	14780	46806
240	14849	46767
241	14916	46721
242	14971	46639
243	15032	46576
244	15088	46496
245	15149	46433
246	15218	46395
247	15290	46365
248	15355	46311
249	15409	46228
250	15476	46181
251	15541	46130
252	15611	46092
253	15675	46040
254	15738	45981
255	15795	45905
256	15860	45854
257	15913	45767
258	15977	45710
259	16044	45665
260	16101	45590
261	16166	45536
262	16229	45479
